
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1010      0.0392       1.746      12.225      13.190
         2.7        0.02      0.0554      0.0991      0.0379       1.688      11.820      12.950
         5.4        0.04      0.1118      0.0971      0.0368       1.637      11.465      12.686
         8.1        0.06      0.1684      0.0949      0.0358       1.595      11.166      12.399
        10.8        0.08      0.2236      0.0926      0.0351       1.562      10.936      12.097
        13.5        0.11      0.2770      0.0902      0.0344       1.534      10.743      11.776
        16.2        0.13      0.3281      0.0876      0.0339       1.510      10.571      11.438
        18.9        0.15      0.3766      0.0848      0.0334       1.487      10.411      11.083
        21.7        0.17      0.4225      0.0820      0.0329       1.464      10.250      10.711
        24.4        0.19      0.4656      0.0790      0.0323       1.440      10.086      10.323
        27.1        0.21      0.5057      0.0759      0.0318       1.416       9.913       9.919
        29.8        0.23      0.5430      0.0727      0.0312       1.389       9.729       9.503
        32.5        0.25      0.5778      0.0695      0.0305       1.360       9.526       9.075
        35.2        0.28      0.6103      0.0661      0.0298       1.327       9.295       8.634
        37.9        0.30      0.6406      0.0626      0.0290       1.290       9.036       8.181
        40.6        0.32      0.6687      0.0591      0.0281       1.249       8.748       7.717
        43.3        0.34      0.6945      0.0554      0.0270       1.204       8.429       7.240
        46.0        0.36      0.7181      0.0517      0.0259       1.153       8.073       6.747
        48.7        0.38      0.7390      0.0478      0.0247       1.098       7.691       6.248
        51.4        0.40      0.7571      0.0439      0.0233       1.039       7.275       5.736
        54.1        0.42      0.7718      0.0399      0.0219       0.975       6.826       5.212
        56.8        0.44      0.7828      0.0358      0.0203       0.905       6.340       4.676
        59.5        0.47      0.7890      0.0316      0.0187       0.831       5.820       4.129
        62.2        0.49      0.7887      0.0273      0.0169       0.752       5.264       3.572
        65.0        0.51      0.7784      0.0230      0.0150       0.668       4.676       3.001
        67.7        0.53      0.7506      0.0185      0.0131       0.582       4.073       2.420
        70.4        0.55      0.6959      0.0140      0.0111       0.494       3.456       1.830
        73.1        0.57      0.5937      0.0094      0.0091       0.403       2.825       1.229
        75.8        0.59      0.4000      0.0047      0.0070       0.313       2.190       0.619
        78.5        0.61     -0.0039      0.0000      0.0050       0.223       1.564      -0.004



