
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.0951      0.0331       0.055       1.149       1.380
         0.9        0.02      0.0594      0.0934      0.0333       0.055       1.154       1.356
         1.8        0.04      0.1162      0.0917      0.0334       0.055       1.159       1.330
         2.7        0.06      0.1702      0.0898      0.0335       0.055       1.162       1.303
         3.6        0.08      0.2214      0.0877      0.0336       0.055       1.164       1.273
         4.5        0.11      0.2699      0.0855      0.0336       0.055       1.163       1.241
         5.4        0.13      0.3157      0.0832      0.0335       0.055       1.161       1.208
         6.3        0.15      0.3587      0.0808      0.0334       0.055       1.157       1.172
         7.2        0.17      0.3989      0.0782      0.0332       0.055       1.151       1.135
         8.1        0.19      0.4364      0.0755      0.0330       0.054       1.143       1.096
         9.0        0.21      0.4710      0.0726      0.0327       0.054       1.133       1.054
         9.9        0.23      0.5028      0.0697      0.0323       0.053       1.120       1.011
        10.8        0.25      0.5320      0.0666      0.0319       0.053       1.104       0.967
        11.7        0.28      0.5586      0.0635      0.0313       0.052       1.085       0.922
        12.6        0.30      0.5825      0.0603      0.0307       0.051       1.064       0.875
        13.5        0.32      0.6038      0.0569      0.0300       0.049       1.039       0.826
        14.5        0.34      0.6225      0.0535      0.0292       0.048       1.010       0.777
        15.4        0.36      0.6388      0.0500      0.0282       0.046       0.977       0.725
        16.3        0.38      0.6528      0.0463      0.0271       0.045       0.938       0.672
        17.2        0.40      0.6640      0.0426      0.0258       0.043       0.894       0.618
        18.1        0.42      0.6721      0.0387      0.0244       0.040       0.846       0.562
        19.0        0.45      0.6769      0.0347      0.0228       0.038       0.791       0.504
        19.9        0.47      0.6776      0.0307      0.0211       0.035       0.731       0.445
        20.8        0.49      0.6724      0.0265      0.0192       0.032       0.666       0.385
        21.7        0.51      0.6589      0.0222      0.0172       0.028       0.595       0.323
        22.6        0.53      0.6315      0.0179      0.0150       0.025       0.521       0.260
        23.5        0.55      0.5798      0.0135      0.0129       0.021       0.446       0.196
        24.4        0.57      0.4859      0.0091      0.0107       0.018       0.370       0.132
        25.3        0.59      0.3170      0.0045      0.0085       0.014       0.295       0.066
        26.2        0.61     -0.0037      0.0000      0.0064       0.011       0.221      -0.001



