                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0749      0.0243       4.505      21.839      26.444              
         2.9        0.01      0.0452      0.0733      0.0240       4.444      21.545      25.846              
         5.8        0.03      0.0895      0.0715      0.0236       4.380      21.237      25.222              
         8.7        0.04      0.1328      0.0696      0.0233       4.312      20.904      24.572              
        11.7        0.06      0.1752      0.0677      0.0229       4.240      20.555      23.901              
        14.6        0.07      0.2165      0.0658      0.0225       4.165      20.190      23.211              
        17.5        0.09      0.2566      0.0638      0.0221       4.088      19.818      22.502              
        20.4        0.10      0.2953      0.0617      0.0216       4.011      19.444      21.776              
        23.3        0.12      0.3315      0.0596      0.0213       3.943      19.118      21.031              
        26.2        0.13      0.3657      0.0575      0.0209       3.878      18.799      20.280              
        29.1        0.15      0.3981      0.0553      0.0205       3.805      18.445      19.495              
        32.0        0.16      0.4290      0.0531      0.0201       3.730      18.085      18.725              
        35.0        0.18      0.4582      0.0509      0.0197       3.652      17.706      17.949              
        37.9        0.19      0.4854      0.0485      0.0192       3.562      17.271      17.122              
        40.8        0.21      0.5108      0.0462      0.0187       3.469      16.817      16.289              
        43.7        0.22      0.5337      0.0436      0.0181       3.360      16.289      15.388              
        46.6        0.24      0.5543      0.0409      0.0175       3.236      15.689      14.430              
        49.5        0.25      0.5721      0.0382      0.0168       3.108      15.068      13.463              
        52.4        0.27      0.5866      0.0353      0.0160       2.972      14.411      12.470              
        55.4        0.28      0.5977      0.0324      0.0153       2.827      13.706      11.448              
        58.3        0.30      0.6043      0.0295      0.0144       2.675      12.966      10.402              
        61.2        0.31      0.6053      0.0265      0.0136       2.517      12.204       9.339              
        64.1        0.33      0.5994      0.0234      0.0127       2.351      11.400       8.246              
        67.0        0.34      0.5845      0.0202      0.0118       2.181      10.573       7.134              
        69.9        0.35      0.5585      0.0170      0.0108       2.003       9.713       6.001              
        72.8        0.37      0.5173      0.0137      0.0098       1.821       8.828       4.850              
        75.7        0.38      0.4544      0.0104      0.0088       1.632       7.914       3.672              
        78.7        0.40      0.3593      0.0070      0.0078       1.442       6.989       2.469              
        81.6        0.41      0.2160      0.0035      0.0068       1.253       6.076       1.245              
        84.5        0.43     -0.0014      0.0000      0.0058       1.083       5.250      -0.007              
                                                                                                              
                                                                                                              
                                                                                                              
