                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0995      0.0977       3.144      39.628      12.679              
         2.8        0.03      0.0314      0.0994      0.0935       3.009      37.931      12.660              
         5.6        0.06      0.0658      0.0991      0.0892       2.869      36.163      12.633              
         8.4        0.09      0.1036      0.0989      0.0847       2.726      34.359      12.596              
        11.2        0.12      0.1454      0.0984      0.0801       2.577      32.486      12.544              
        14.0        0.15      0.1921      0.0979      0.0754       2.426      30.574      12.471              
        16.8        0.18      0.2441      0.0970      0.0706       2.271      28.622      12.366              
        19.6        0.21      0.3018      0.0958      0.0657       2.115      26.659      12.205              
        22.4        0.24      0.3645      0.0939      0.0610       1.963      24.742      11.971              
        25.2        0.27      0.4296      0.0915      0.0567       1.826      23.014      11.665              
        28.0        0.30      0.4919      0.0887      0.0533       1.716      21.636      11.302              
        30.8        0.33      0.5482      0.0856      0.0508       1.635      20.604      10.906              
        33.6        0.35      0.5991      0.0822      0.0487       1.567      19.750      10.470              
        36.4        0.38      0.6452      0.0785      0.0468       1.506      18.982      10.004              
        39.2        0.41      0.6865      0.0746      0.0450       1.448      18.257       9.507              
        42.0        0.44      0.7229      0.0705      0.0432       1.392      17.540       8.977              
        44.8        0.47      0.7535      0.0660      0.0414       1.334      16.810       8.406              
        47.6        0.50      0.7777      0.0614      0.0397       1.278      16.115       7.829              
        50.4        0.53      0.7989      0.0569      0.0379       1.219      15.370       7.245              
        53.2        0.56      0.8180      0.0522      0.0358       1.153      14.535       6.646              
        56.0        0.59      0.8349      0.0474      0.0336       1.080      13.610       6.034              
        58.8        0.62      0.8493      0.0424      0.0310       0.999      12.592       5.409              
        61.6        0.65      0.8600      0.0374      0.0283       0.912      11.494       4.772              
        64.4        0.68      0.8676      0.0324      0.0254       0.817      10.295       4.124              
        67.2        0.71      0.8712      0.0272      0.0222       0.713       8.988       3.465              
        70.0        0.74      0.8661      0.0219      0.0187       0.603       7.598       2.795              
        72.8        0.77      0.8452      0.0166      0.0151       0.486       6.121       2.113              
        75.6        0.80      0.7982      0.0111      0.0111       0.358       4.513       1.417              
        78.4        0.83      0.6709      0.0056      0.0069       0.222       2.797       0.712              
        81.2        0.86     -0.0003      0.0000      0.0035       0.114       1.439       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
